Sediment/Soil,Skin,aOral,mOral,Unknown,Running time (s),Sink,decOM_max,p_Sediment/Soil,p_Skin,p_aOral,p_mOral,p_Unknown
1016,968,70789,30294,8318,25.6232,Chimp,aOral,0.9122,0.8691,63.5534,27.1976,7.4678
27885,12299,292877,128118,354238,198.8963,DM_002,Unknown,3.4197,1.5083,35.9175,15.712,43.4426
3342,993,53124,14163,75800,48.8678,DM_003,Unknown,2.267,0.6736,36.0353,9.6071,51.417
10493,3264,48496,22675,88346,45.5181,DM_004,Unknown,6.0557,1.8837,27.988,13.0862,50.9863
14336,3910,308747,85930,243466,201.089,DM_005,aOral,2.1841,0.5957,47.0372,13.0913,37.0917
2861,2195,12185,15007,53090,37.9816,DM_006,Unknown,3.3526,2.5721,14.2785,17.5854,62.2114
476,912,4302,5131,20083,19.7446,DM_007,Unknown,1.5403,2.9511,13.9205,16.603,64.9851
10688,4173,60301,37028,156856,96.1103,DM_008,Unknown,3.9726,1.551,22.4129,13.7627,58.3008
5630,3609,23948,17995,36847,26.0008,DM_009,Unknown,6.3956,4.0998,27.2047,20.4421,41.8578
13110,4850,54362,40530,199264,146.864,DM_010,Unknown,4.2004,1.5539,17.4172,12.9856,63.8429
1460,1919,13032,12438,43038,37.1519,DM_011,Unknown,2.031,2.6695,18.1285,17.3022,59.869
21790,8103,78660,52239,259940,142.1506,DM_012,Unknown,5.1791,1.9259,18.696,12.4162,61.7828
11844,4701,70531,37783,150495,79.4958,DM_013,Unknown,4.3014,1.7073,25.6147,13.7216,54.6551
7069,5908,64838,47422,50198,42.0604,DM_014,aOral,4.0294,3.3676,36.9584,27.0311,28.6134
7571,3553,36794,27015,75764,37.0192,DM_015,Unknown,5.024,2.3577,24.4159,17.9267,50.2757
20829,5766,572343,189663,267752,210.7902,DM_016,aOral,1.9718,0.5458,54.181,17.9545,25.3468
0,0,0,0,0,6.2088,DM_017,TIE,,,,,
8350,3057,38108,22670,92803,61.0508,DM_019,Unknown,5.061,1.8529,23.0974,13.7404,56.2483
23916,7437,77947,58228,223583,167.1421,DM_020,Unknown,6.1149,1.9015,19.9296,14.8878,57.1661
24415,27652,235223,214674,174084,101.7548,DM_021,aOral,3.6114,4.0902,34.7938,31.7543,25.7502
28833,7039,123075,58716,294012,196.7121,DM_022,Unknown,5.635,1.3757,24.0534,11.4753,57.4607
22187,24699,14207,87634,144890,135.5027,DM_026,Unknown,7.5564,8.412,4.8386,29.8464,49.3466
10022,6916,10913,37965,67522,92.7419,DM_027,Unknown,7.5162,5.1868,8.1845,28.4728,50.6397
9858,4965,16051,28769,46928,62.0011,DM_028,Unknown,9.2502,4.6589,15.0613,26.9951,44.0345
11542,7613,20878,23525,69535,85.0126,DM_029,Unknown,8.6721,5.7201,15.6868,17.6756,52.2454
216,746,239,304,566,7.678,DM_C01,Skin,10.4297,36.0212,11.5403,14.6789,27.3298
0,0,0,0,51,6.2342,EB_10_2,Unknown,0.0,0.0,0.0,0.0,100.0
0,0,0,0,0,6.153,EB_11_1,TIE,,,,,
0,0,0,0,0,5.9219,EB_12_1,TIE,,,,,
0,0,0,0,0,5.8846,EB_13_2,TIE,,,,,
0,0,0,0,0,6.0147,EB_14_2,TIE,,,,,
0,0,0,0,0,5.8157,EB_15_2,TIE,,,,,
0,0,0,0,0,6.2261,EB_16,TIE,,,,,
0,0,0,0,0,6.1618,EB_17_2,TIE,,,,,
0,0,0,0,0,6.1736,EB_18_2,TIE,,,,,
0,0,0,0,0,5.7982,EB_19_2,TIE,,,,,
37819,26211,1869,1838,73005,22.5466,EB_1,Unknown,26.8712,18.6234,1.328,1.3059,51.8715
0,0,0,0,0,5.9619,EB_20,TIE,,,,,
0,0,0,0,0,5.8624,EB_21,TIE,,,,,
0,0,0,0,0,5.7703,EB_2_2,TIE,,,,,
