Species,uid
Alouatta palliata,564c9708-bedb-4c1c-afc7-307f416901f0
Camelus dromedarius,e52676dd-272c-4b14-8c99-ea5dc98942e5
Capreolus capreolus,1a8006a1-f578-4dd2-963b-c659208bf9ab
Cephalophus silvicultor,fc7091f0-9635-4f3f-93e5-84d25d6721e0
Ceratotherium simum,623da06a-1857-43a2-9d1b-8a29f5f378cf
Cuniculus paca,b6c7dab1-a2f8-43f6-98d5-ab6000f58957
Diceros bicornis,6fdf83e3-7155-41d6-b6d1-3fba78bc1a6e
Dugong dugon,682fdc38-6437-44a7-8fac-34ec01912d63
Equus burchellii,3f18d263-3f53-4b88-a496-e21982ddc5ef
Equus caballus,9f550f9e-b8df-43c4-9f00-396548507424
Giraffa camelopardalis,75d59e42-a606-4f26-b648-46d1098d99fa
Gorilla beringei,f9bb81be-bd1e-4513-a92e-2cee296fb357
Gorilla gorilla,142e0571-3b5f-443d-a887-b572a224ea22
Hippopotamus amphibius,bab03f09-73ba-45ea-8534-ea176c82a1a0
Loxodonta africana,09af15bc-97ee-4fa0-9379-da7ee328560a
Macropus giganteus,624e3d80-cba2-4465-8f3a-c9ae4025198b
Marmota marmota,eee50efb-40dc-47d0-b2cb-52a14a5e0e51
Meles meles,0c32ffbe-26ee-495a-9ec5-adb14ff1444b
Muntiacus muntjak,50b253d3-329f-46bd-b2dd-e85f26aad188
Okapia johnstoni,da601133-a966-43a3-a60f-38632814a3b4
Orcinus orca,880129b5-b78b-40a9-88ad-55f7d1dc823f
Otaria byronia,6f7f22fc-30a8-44a1-8f8e-1bbef48a2463
Ovibos moschatus,b697158f-d535-4a47-973c-9926103f255f
Ovis ammon,8b50d880-c31f-42a6-bc71-43fe23a106c1
Ovis aries,14012740-e356-464b-b84d-fa6c4a0b34a9
Pan troglodytes,34f93016-ee49-428c-8504-c7c4739232bc
Papio anubis,071db0d0-20a2-4f1b-9c26-fa20db640664
Piliocolobus foai,525fde4f-596e-414f-8a2c-0837aa75792c
Pongo pygmaeus,0173bfdd-b5ab-4e8f-9053-b33830690ac5
Rangifer tarandus,09c5d6bf-8ed9-4dc3-86f1-6b75dbe63952
Rupicapra rupicapra,bf013755-e13a-4b36-a833-e02fd9cf4246
Sus scrofa,87047da1-b40e-4b31-8492-4db262f129f5
Sus scrofa domesticus,008d6d88-d1be-470a-8c70-73625c3fb4fb
Syncerus caffer,414644c7-12c9-4ecd-b336-ac4f8f981b47
Tapirus indicus,8f6b8802-52f9-4f16-8429-0b86ea4a4aa8
Ursus arctos,0cd82109-bb1c-4e08-ab11-c845d8a82eba
