sample,demult_F,demult_R,merged,unmerged_F,unmerged_R,unpaired_F,unpaired_R,deduped,unmapped,mapped
ABM007.A,9792317.0,9792317.0,8368861.0,112377.0,112377.0,43084.0,5266.0,8222915.0,8208338.0,14577.0
ABM008.A,3044721.0,3044721.0,2428581.0,16009.0,16009.0,13077.0,1372.0,2388197.0,2385594.0,2603.0
BIT001.A,17228347.0,17228347.0,14910676.0,655691.0,655691.0,105566.0,12091.0,14694171.0,13893890.0,800281.0
Chimp,18612536.0,18612536.0,17371328.0,118172.0,118172.0,32458.0,57289.0,1979685.0,1954978.0,24707.0
DJA002.A,15059172.0,15059172.0,11288346.0,143588.0,143588.0,90010.0,16740.0,11015473.0,10991748.0,23725.0
DJA006.A,12110615.0,12110615.0,9506295.0,175253.0,175253.0,53873.0,6396.0,9309633.0,9304957.0,4676.0
DJA007.A,13189140.0,13189140.0,11188540.0,108581.0,108581.0,62553.0,6991.0,11002641.0,10991499.0,11142.0
DM_002,73176291.0,73176291.0,70257289.0,194370.0,194370.0,24951.0,23809.0,60174714.0,58676650.0,1498064.0
DM_003,15029513.0,15029512.0,14260514.0,,,,,12583970.0,12407624.0,176346.0
DM_004,15461848.0,15461848.0,14811764.0,13167.0,13167.0,5586.0,2230.0,13127564.0,13067293.0,60271.0
DM_005,77775314.0,77775314.0,75423484.0,241650.0,241650.0,50239.0,28021.0,61081209.0,60261768.0,819441.0
DM_006,12711071.0,12711071.0,11798468.0,9473.0,9473.0,6617.0,1268.0,10978273.0,10939478.0,38795.0
DM_007,4983895.0,4983895.0,4516815.0,24999.0,24999.0,5875.0,1781.0,4318292.0,4279475.0,38817.0
DM_008,34279437.0,34279437.0,32491361.0,91629.0,91629.0,38099.0,9506.0,29358470.0,29250370.0,108100.0
DM_009,8411567.0,8411567.0,8021685.0,24258.0,24258.0,3723.0,1528.0,6950393.0,6775314.0,175079.0
DM_010,46434973.0,46434973.0,43295386.0,94243.0,94243.0,37978.0,6098.0,39958247.0,39799140.0,159107.0
DM_011,14698526.0,14698526.0,13630093.0,19847.0,19847.0,7718.0,3032.0,12609104.0,12439690.0,169414.0
