sample,demult_F,demult_R,merged,unmerged_F,unmerged_R,unpaired_F,unpaired_R,deduped,unmapped,mapped
ABM007.A,151,151,51.581278264748335,64.50328803936749,64.03375245824323,52.616539782749975,47.06646410938093,51.60246688674272,51.60956322705035,47.60650339576044
ABM008.A,151,151,46.33322174553783,55.62502342432382,55.003185708039226,49.05276439550356,42.518221574344025,46.34207982004835,46.332015841756814,55.56550134460238
BIT001.A,151,151,59.08817346711846,71.63617466154027,71.2901092130287,56.75208874069303,52.833760648416174,59.096157244937466,59.15540989600465,58.06745630597253
Chimp,151,151,57.17577188111352,59.880360829976645,55.10741969332837,54.46410746195083,65.01754263471173,59.45023425443947,59.581784552051225,49.040879103088194
DJA002.A,151,151,48.16216228666272,58.03893082987436,57.0652422207984,48.83656260415509,48.06678614097969,48.197591242790935,48.20349138280827,45.4640674394099
DJA006.A,151,151,48.22952422578933,67.29423747382356,66.8731947527289,50.49638965715665,44.83739837398374,48.28086896658547,48.27963321055648,50.73994867408041
DJA007.A,151,151,50.47248479247516,60.95684327828994,60.34048314161778,51.740907710261695,46.32584751823774,50.48985938921392,50.48669612761644,53.61039310716209
DM_002,151,151,65.45594248591061,99.41410711529556,77.80912692287905,87.0464911226003,61.82338611449452,64.06091460609186,64.25587176500363,56.424769569257386
DM_003,151,151,63.72339538392515,,,,,62.37948811066778,62.45821440108114,56.84034228165085
DM_004,151,151,61.92069816937402,91.22647527910686,77.29277739804056,89.71034729681347,55.60986547085202,60.93498710042473,60.97012258009367,53.31728360239585
DM_005,151,151,64.78676544562698,99.05156217670184,73.4180840057935,85.41467783992516,61.10923949894722,64.00426306231103,64.03873844192557,61.46894041181732
DM_006,151,151,56.00301166219207,91.30222738308878,69.6137443259791,79.7255553876379,53.131703470031546,55.776861351507655,55.78705912658721,52.90125016110324
DM_007,151,151,58.72727353234525,95.83735349413976,105.77855114204569,74.03829787234042,53.04154969118473,58.75271496230454,58.80397244989163,53.10170801452971
DM_008,151,151,59.63258904420778,85.94787676390662,69.74416396555675,77.72508464789102,54.91920892068168,59.56307535780986,59.57129520071028,57.33888066604995
DM_009,151,151,57.41808385644662,101.65289801302664,66.25199934042378,78.89497716894977,53.14528795811518,56.49522494627282,56.314952783000166,63.47149001307981
DM_010,151,151,64.80723724232416,99.14217501565103,95.98082616215528,91.95615882879562,56.95818301082322,64.25569950553637,64.28833670777811,56.09179357287863
DM_011,151,151,49.55231589395611,84.83015065249155,64.02221998286895,84.24345685410728,53.93106860158312,49.58963150752028,49.62204628893485,47.20947501387135
DM_012,151,151,65.92748739453353,112.43368725473024,95.22684634792624,85.0748212867355,58.96552014837295,63.34447981436727,63.203679394598055,68.51888301295898
DM_013,151,151,63.90910737750031,92.18280144059806,83.8291505243186,79.52374307089971,59.09788057338845,63.6719152884864,64.95953988870198,57.05881230319786
DM_014,151,151,61.84502498158483,92.69213912567096,82.49305741249209,76.36325723842829,64.61081560283688,60.711528296666096,60.7279318519413,60.687998500187845
DM_015,151,151,61.752275786144814,86.76717696373245,75.93338800801895,77.77404766046268,55.773959021810974,61.3162788319351,61.35363850542687,52.42593753012629
DM_016,151,151,56.83622261640876,81.87384977192733,76.3484934577079,68.36517382054362,67.5255312308187,55.93211389830931,55.85693000716161,65.20616319138591
DM_017,151,151,56.5,,,,,56.5,56.5,
DM_019,151,151,59.01725184671403,92.73600816048965,83.61808908534512,74.46113218775571,56.15736191752271,57.87828407274453,57.88332407300596,54.768521146749926
DM_020,151,151,57.58006555436105,81.92162306160792,78.34806464578485,65.92176267131508,71.00492906321719,57.39927643775393,57.338743770256734,58.72533761795115
DM_021,151,151,53.84206813228994,81.81907914829158,74.14661796503744,76.86430678466077,55.59793498262114,53.848740212388456,53.85097607897056,53.65889718172891
DM_022,151,151,58.08288796467146,90.01433491935573,71.02349226676087,71.86515442589035,58.79098275503844,57.10208538882032,57.10895100029178,50.36420472762249
DM_026,151,151,75.6079194928287,111.934469473465,114.3858764097412,83.41691188718006,,73.02821897236784,73.03411868416288,53.38842889670875
DM_027,151,151,62.09365946182648,91.081543949965,81.72741538531012,80.60860820595335,60.33386920455276,60.822829787925954,60.84369281322343,47.43120896480229
DM_028,151,151,53.165432208038986,86.5327973040882,80.90434242809424,72.58588375775511,55.09553853086976,52.82635870639741,52.83230112957816,47.26988318489012
DM_029,151,151,50.16584409570241,83.01657601657601,71.6047471047471,70.75316750448587,56.13937668090492,50.055368995595565,49.981562415905216,52.08020485740253
DM_C01,151,151,67.3482582278876,109.20734126984128,105.90093537414964,66.71450089004519,70.98255813953489,64.98566274845982,63.45173212973472,68.82087702418421
EBO001.A,151,151,45.284702167242784,55.907881954317126,55.06400459672069,46.56491810331582,44.91447751174759,45.32765250868256,45.27672231606271,54.23456166089283
EBO003.A,151,151,47.3823827439822,60.07040792769698,59.159077674753554,47.667806859481416,47.55490224061653,47.45775442408253,47.450522371058575,57.543418013856815
EBO008.A,151,151,52.96061888548462,66.40930579351482,65.89062599149692,53.04358641089996,47.48571428571429,52.980484109306616,52.91776275315057,59.413950964294656
EBO009.A,151,151,48.14649906816376,62.01783162827913,61.40646968051666,51.09745856353591,43.32435129740519,48.15748209603613,48.14235849157145,56.45874384236453
EB_1,151,151,116.22331257143291,136.01395373570858,137.35046352920324,70.90269419589833,85.29768317217211,130.74288785249948,131.61923298596716,108.94118687538692
EB_10_2,151,151,47.42734844711143,68.3351409978308,78.5531453362256,62.60657575534808,78.07185273159145,52.390820702246,51.715738946626736,70.53195266272189
EB_11_1,151,151,40.48092453355611,69.06073752711497,75.91540130151844,67.2222152376163,78.67361111111111,51.37128123760412,50.92698668818072,77.5952380952381
