Ext.ID,Museum.Institution,Sampling.date,Catalogue.accession,Species,Collection.notes,Sex,Age,Year,Country,Region,Locality,Oral.health,Photo,Appearance,Sample.collected.from,Sampling.comments,Ext.Date,Sample.weight..g.,Qubit.concentration..ng.ul.,Qubit.date,Ext.comments,LP.date,Extract.vol.used,LP_BC_p5,LP_BC_p7,P5.Index,P7.Index,LP.copies,Ind.date,LP.vol.used,Ind.cycles,Ind.copies,Pool,Pooled.volume..ul.,Deep.Pool,Deep.Pool.vol,Instrument.model,archive,archive_project,archive_accession,project_name,publication_doi,download_links,download_md5s
ABM007.A,Hamann-Todd Collection at the Cleveland Museum of Natural History,NA,2001,Pan troglodytes,Pan troglodytes ellioti,Male,Adult,,Cameroon,,Abong Mbong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54580000,NA,NA,NA,NA,NA,NA,NA,NA,NextSeq 500,ENA,PRJEB34569,ERS3774426,FellowsYates2021,10.1073/pnas.2021655118,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/000/ERR3579700/ERR3579700_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/000/ERR3579700/ERR3579700_2.fastq.gz,06fb8bd69f2828fbe9ba402ab66d2726;a95e2f7d04d80af4632160c863e3504a
ABM008.A,Hamann-Todd Collection at the Cleveland Museum of Natural History,NA,2804,Pan troglodytes,Pan troglodytes ellioti,Male,Adult,,Cameroon,,Abong Mbong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23970000,NA,NA,NA,NA,NA,NA,NA,NA,NextSeq 500,ENA,PRJEB34569,ERS3774427,FellowsYates2021,10.1073/pnas.2021655118,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/002/ERR3579702/ERR3579702_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/002/ERR3579702/ERR3579702_2.fastq.gz,610fdee2e649ba064300bc9bff08f1bc;f3ad5faec3405761b440a9a7f972aaee
BIT001.A,RMCA,NA,86.044-M-0003,Gorilla beringei,Gorilla beringei graueri,Male,Adult,1986,Democratic Republic of the Congo,,Bitule,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,640900000,NA,NA,NA,NA,NA,NA,NA,NA,NextSeq 500,ENA,PRJEB34569,ERS3774407,FellowsYates2021,10.1073/pnas.2021655118,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/005/ERR3579705/ERR3579705_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/005/ERR3579705/ERR3579705_2.fastq.gz,87851afd697022f6791859d4b202f3f5;a8aff3fc4c7f0d238dcb06b5c90a271c
Chimp,The Royal College of Surgeons,NA,810,Pan troglodytes,,,,,Sierra Leone,,Gola Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Illumina HiSeq 2500,SRA,PRJNA685265,SRS7890499,Weyrich2017,10.1038/nature21674,ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/022/SRR13263122/SRR13263122_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/022/SRR13263122/SRR13263122_2.fastq.gz,d46a4d361a4807525368033e346d6b4b;9031a68f2e9d0050cebe0c04d2cca495
DJA002.A,Hamann-Todd Collection at the Cleveland Museum of Natural History,NA,3415,Gorilla gorilla,Gorilla gorilla gorilla,Male,Adult,,Cameroon,,Djaposten,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13750000,NA,NA,NA,NA,NA,NA,NA,NA,NextSeq 500,ENA,PRJEB34569,ERS3774400,FellowsYates2021,10.1073/pnas.2021655118,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/003/ERR3579713/ERR3579713_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/003/ERR3579713/ERR3579713_2.fastq.gz,fb219e8065a3e449346af51438ac401d;d9dbc19c56ae644f715d9a58c2ecb813
DJA006.A,Hamann-Todd Collection at the Cleveland Museum of Natural History,NA,3537,Pan troglodytes,Pan troglodytes ellioti,Male,Adult,,Cameroon,,Djaposten,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96230000,NA,NA,NA,NA,NA,NA,NA,NA,NextSeq 500,ENA,PRJEB34569,ERS3774428,FellowsYates2021,10.1073/pnas.2021655118,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/005/ERR3579715/ERR3579715_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/005/ERR3579715/ERR3579715_2.fastq.gz,8e52c0a1d7ae19f35318e08287b047be;e68e2bc3e2f3fd1652e6005d060ad053
DJA007.A,Hamann-Todd Collection at the Cleveland Museum of Natural History,NA,3538,Pan troglodytes,Pan troglodytes ellioti,Female,Adult,,Cameroon,,Djaposten,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202400000,NA,NA,NA,NA,NA,NA,NA,NA,NextSeq 500,ENA,PRJEB34569,ERS3774429,FellowsYates2021,10.1073/pnas.2021655118,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/007/ERR3579717/ERR3579717_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/007/ERR3579717/ERR3579717_2.fastq.gz,4a3d57bf0f532d2e48d194d536b381f7;e8a084d9421596ba303aa417f3f9886e
DM_002,Adametz collection,20230217,A 284,Sus scrofa domesticus,Sus s. f. domestica; Schweinekreunzungen ,male,,<1940,,,,,Y,orange and brown,mandible incisor and left side molars,,20230627,0.016,20.800,20230628,,20230629,20,9,2,1,1,1.81e+08,20230906,12,11,4.57e+10,Pool A,3,Pool U,2,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
DM_003,Adametz collection,20230217,E 1042 (large tusks),Sus scrofa,Sardinischen Wildschwein aus Sch�nbrunn 32 ,male?,,<1940,,,,,N,huge white plaques,upper molars,large chunks fell off eaisly. Too much?,20230627,0.019,13.200,20230628,,20230629,20,8,7,1,1,4.53e+08,20230720,12,10,1.1e+11,Pool A,2,Pool S,3,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
DM_004,Adametz collection,20230217,E 1042 (no tusks),Sus scrofa,Sardinischen Wildschwein aus Sch�nbrunn 32 ,female?,,<1940,,,,,N,,,,20230627,0.029,29.400,20230628,,20230629,20,8,9,1,1,4.47e+08,20230720,12,10,7.9e+10,Pool A,3,Pool S,4,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
