Species,habitat.general
Alouatta palliata,Terrestrial
Camelus dromedarius,Terrestrial
Capreolus capreolus,Terrestrial
Cephalophus silvicultor,Terrestrial
Ceratotherium simum,Terrestrial
Cuniculus paca,Terrestrial
Diceros bicornis,Terrestrial
Dugong dugon,Aquatic
Equus burchellii,Terrestrial
Equus caballus,Terrestrial
Giraffa camelopardalis,Terrestrial
Gorilla beringei,Terrestrial
Gorilla gorilla,Terrestrial
Hippopotamus amphibius,Terrestrial
Loxodonta africana,Terrestrial
Macropus giganteus,Terrestrial
Marmota marmota,Terrestrial
Meles meles,Terrestrial
Muntiacus muntjak,Terrestrial
Okapia johnstoni,Terrestrial
Orcinus orca,Aquatic
Otaria byronia,Aquatic
Ovis ammon,Terrestrial
Ovis aries,Terrestrial
Pan troglodytes,Terrestrial
Papio anubis,Terrestrial
Piliocolobus foai,Terrestrial
Pongo pygmaeus,Terrestrial
Rangifer tarandus,Terrestrial
Rupicapra rupicapra,Terrestrial
Sus scrofa,Terrestrial
Sus scrofa domesticus,Terrestrial
Syncerus caffer,Terrestrial
Tapirus indicus,Terrestrial
Ursus arctos,Terrestrial
