Species,habitat.general,digestion,biogeography
Ceratotherium simum,Terrestrial,Hindgut fermenter,Afrotropical
Diceros bicornis,Terrestrial,Hindgut fermenter,Afrotropical
Equus burchellii,Terrestrial,Hindgut fermenter,Afrotropical
Equus caballus,Terrestrial,Hindgut fermenter,Palearctic
Camelus dromedarius,Terrestrial,Pseudoruminant,Palearctic
Hippopotamus amphibius,Terrestrial,Pseudoruminant,Afrotropical
Capreolus capreolus,Terrestrial,Ruminant,Palearctic
Cephalophus silvicultor,Terrestrial,Ruminant,Afrotropical
Giraffa camelopardalis,Terrestrial,Ruminant,Afrotropical
Muntiacus muntjak,Terrestrial,Ruminant,Indomalayan
Okapia johnstoni,Terrestrial,Ruminant,Afrotropical
Ovis ammon,Terrestrial,Ruminant,Palearctic
Ovis aries,Terrestrial,Ruminant,
Rangifer tarandus,Terrestrial,Ruminant,Palearctic
Rupicapra rupicapra,Terrestrial,Ruminant,Palearctic
Syncerus caffer,Terrestrial,Ruminant,Afrotropical
Alouatta palliata,Terrestrial,,Neotropical
Cuniculus paca,Terrestrial,,Neotropical
Dugong dugon,Marine,,Indomalayan
Gorilla beringei,Terrestrial,,Afrotropical
Gorilla gorilla,Terrestrial,,Afrotropical
Loxodonta africana,Terrestrial,,Afrotropical
Macropus giganteus,Terrestrial,,Australasian
Marmota marmota,Terrestrial,,Palearctic
Meles meles,Terrestrial,,Palearctic
Orcinus orca,Marine,,Cosmopolitan
Otaria byronia,Marine,,Neotropical
Pan troglodytes,Terrestrial,,Afrotropical
Papio anubis,Terrestrial,,Afrotropical
Piliocolobus foai,Terrestrial,Foregut fermenter,Afrotropical
Pongo pygmaeus,Terrestrial,,Indomalayan
Sus scrofa,Terrestrial,,Palearctic
Sus scrofa domesticus,Terrestrial,,
Tapirus indicus,Terrestrial,,Indomalayan
Ursus arctos,Terrestrial,,Palearctic
