bin,Sample,Museum,Species,Sex,Age,Year,Country,Region,Oral.health,GenomeBin,Specific lineage dataset,%Complete (specific),%Complete and single-copy (specific),%Complete and duplicated (specific),%Fragmented (specific),%Missing (specific),Total number (specific),Assembly,# contigs (>= 0 bp),# contigs (>= 1000 bp),# contigs (>= 5000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 50000 bp),Total length (>= 0 bp),Total length (>= 1000 bp),Total length (>= 5000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 50000 bp),# contigs,Largest contig,Total length,GC (%),N50,N75,L50,L75,# N's per 100 kbp,# predicted rRNA genes,DepthSum,bin_type,bin_path,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,classification,closest_genome_reference,closest_genome_reference_radius,closest_genome_taxonomy,closest_genome_ani,closest_genome_af,closest_placement_reference,closest_placement_radius,closest_placement_taxonomy,closest_placement_ani,closest_placement_af,pplacer_taxonomy,classification_method,note,other_related_references(genome_id;species_name;radius;ANI;AF),msa_percent,translation_table,red_value,warnings
MEGAHIT-MetaBAT2Refined-DM_019.3.fa.gz,DM_019,Adametz collection,Sus scrofa domesticus,,,<1940,,,,MEGAHIT-MetaBAT2Refined-DM_019.3.fa.gz,bacteria_odb10,12.9,12.9,0.0,16.1,71.0,124,MEGAHIT-MetaBAT2Refined-DM_019.3.fa.gz,279,279,94,21,0,0,1298002,1298002,765701,252656,0,0,279,15909,1298002,57.95,5855,3370,73,145,0.0,0 + 0 part,15,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-DM_019.3.fa.gz,p__Euryarchaeota (UID3),148,187,124,11,173,3,0,0,0,93.66,2.02,33.33,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__,,,,,,GCA_002503545.1,95.0,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__Methanomethylophilus sp002503545,89.62,0.592,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__,taxonomic classification defined by topology and ANI,,GCF_000300255.2; s__Methanomethylophilus alvus; 95.0; 85.26; 0.259,87.12,11.0,0.98662,Genome not assigned to closest species as it.fa.gzlls outside its pre-defined ANI radius
MEGAHIT-MetaBAT2Refined-DM_019.5.fa.gz,DM_019,Adametz collection,Sus scrofa domesticus,,,<1940,,,,MEGAHIT-MetaBAT2Refined-DM_019.5.fa.gz,bacteria_odb10,78.2,77.4,0.8,6.5,15.3,124,MEGAHIT-MetaBAT2Refined-DM_019.5.fa.gz,439,439,200,80,6,0,2836861,2836861,2108399,1260389,178575,0,439,33092,2836861,50.68,8790,4875,97,204,0.0,0 + 0 part,28,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-DM_019.5.fa.gz,o__Actinomycetales (UID1812),229,457,227,42,404,11,0,0,0,93.2,2.94,54.55,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__,,,,,,,,,,,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__,taxonomic classification fully defined by topology,classification based on placement in class-level tree,,80.95,11.0,0.98024,
MEGAHIT-MetaBAT2Refined-DM_019.6.fa.gz,DM_019,Adametz collection,Sus scrofa domesticus,,,<1940,,,,MEGAHIT-MetaBAT2Refined-DM_019.6.fa.gz,bacteria_odb10,96.0,96.0,0.0,1.6,2.4,124,MEGAHIT-MetaBAT2Refined-DM_019.6.fa.gz,220,220,142,89,22,2,2433551,2433551,2188547,1805681,804111,119784,220,65594,2433551,43.0,15470,9774,44,91,0.0,0 + 0 part,37,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-DM_019.6.fa.gz,f__Pasteurellaceae (UID4932),83,767,440,26,731,10,0,0,0,97.79,1.63,20.0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Glaesserella;s__,,,,,,,,,,,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Glaesserella;s__,taxonomic novelty determined using RED,classification based on placement in class-level tree,,95.37,11.0,0.98085,
MEGAHIT-MaxBin2Refined-RM_096.002.fa.gz,RM_096,RMCA,Piliocolobus foai,female,M3,<1913?,Congo (DR),,,MEGAHIT-MaxBin2Refined-RM_096.002.fa.gz,bacteria_odb10,94.3,93.5,0.8,0.8,4.9,124,MEGAHIT-MaxBin2Refined-RM_096.002.fa.gz,205,205,136,86,23,4,2441486,2441486,2259927,1889387,866750,250883,205,75507,2441486,48.6,19826,10527,39,81,0.0,1 + 0 part,66,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MaxBin2Refined-RM_096.002.fa.gz,c__Gammaproteobacteria (UID4387),965,277,177,6,266,5,0,0,0,98.31,1.84,20.0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Basfia_A;s__,,,,,,,,,,,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Basfia_A;s__,taxonomic classification fully defined by topology,classification based on placement in class-level tree,,93.6,11.0,0.97077,
MEGAHIT-MetaBAT2Refined-RM_096.10.fa.gz,RM_096,RMCA,Piliocolobus foai,female,M3,<1913?,Congo (DR),,,MEGAHIT-MetaBAT2Refined-RM_096.10.fa.gz,bacteria_odb10,75.0,75.0,0.0,5.6,19.4,124,MEGAHIT-MetaBAT2Refined-RM_096.10.fa.gz,373,373,178,64,1,0,2314713,2314713,1700104,879362,28531,0,373,28531,2314713,57.49,8106,4826,95,186,0.0,0 + 0 part,13,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-RM_096.10.fa.gz,f__Actinomycetaceae (UID1531),42,420,211,30,377,12,1,0,0,93.71,3.66,33.33,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__,,,,,,,,,,,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__,taxonomic classification fully defined by topology,classification based on placement in class-level tree,,82.18,11.0,0.95009,
MEGAHIT-MetaBAT2Refined-RM_096.4.fa.gz,RM_096,RMCA,Piliocolobus foai,female,M3,<1913?,Congo (DR),,,MEGAHIT-MetaBAT2Refined-RM_096.4.fa.gz,bacteria_odb10,91.9,86.3,5.6,1.6,6.5,124,MEGAHIT-MetaBAT2Refined-RM_096.4.fa.gz,271,271,162,72,10,1,2332438,2332438,1984670,1334490,353944,55582,271,55582,2332438,41.76,12368,6745,57,123,0.0,0 + 0 part,33,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-RM_096.4.fa.gz,o__Lactobacillales (UID544),293,475,267,25,436,13,1,0,0,94.79,1.89,12.5,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__,,,,,,,,,,,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__,taxonomic classification fully defined by topology,classification based on placement in class-level tree,,83.69,11.0,0.97621,
MEGAHIT-MetaBAT2Refined-RM_096.7.fa.gz,RM_096,RMCA,Piliocolobus foai,female,M3,<1913?,Congo (DR),,,MEGAHIT-MetaBAT2Refined-RM_096.7.fa.gz,bacteria_odb10,96.0,94.4,1.6,2.4,1.6,124,MEGAHIT-MetaBAT2Refined-RM_096.7.fa.gz,87,87,73,64,39,18,2773230,2773230,2729369,2660501,2241865,1498266,87,198052,2773230,69.43,58824,31247,16,33,0.0,2 + 0 part,81,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-RM_096.7.fa.gz,o__Actinomycetales (UID1530),622,258,152,8,242,8,0,0,0,95.5,1.43,0.0,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Propionibacterium;s__,,,,,,,,,,,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Propionibacterium;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,GCF_000426605.1; s__Propionibacterium acid.fa.gzciens; 95.0; 86.26; 0.453; GCF_003666605.1; s__Propionibacterium australiense; 95.0; 85.46; 0.437; GCF_900289195.1; s__Propionibacterium ruminifibrarum; 95.0; 85.34; 0.422,93.64,11.0,0.97847,
MEGAHIT-MaxBin2Refined-DM_005.010.fa.gz,DM_005,Adametz collection,Sus scrofa domesticus,,,<1940,,,,MEGAHIT-MaxBin2Refined-DM_005.010.fa.gz,bacteria_odb10,92.7,92.7,0.0,2.4,4.9,124,MEGAHIT-MaxBin2Refined-DM_005.010.fa.gz,224,224,122,57,9,1,1801942,1801942,1519140,1028473,316838,60384,224,60384,1801942,49.71,12187,7027,46,94,0.0,0 + 0 part,21,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MaxBin2Refined-DM_005.010.fa.gz,o__Clostridiales (UID1212),172,263,149,7,253,3,0,0,0,95.3,0.81,0.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA2912;s__,,,,,,,,,,,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA2912;s__,taxonomic classification fully defined by topology,classification based on placement in class-level tree,,92.63,11.0,0.95815,
MEGAHIT-MetaBAT2Refined-DM_005.14.fa.gz,DM_005,Adametz collection,Sus scrofa domesticus,,,<1940,,,,MEGAHIT-MetaBAT2Refined-DM_005.14.fa.gz,bacteria_odb10,99.2,98.4,0.8,0.0,0.8,124,MEGAHIT-MetaBAT2Refined-DM_005.14.fa.gz,233,233,144,85,28,3,2572091,2572091,2323847,1893633,1046316,223199,233,85569,2572091,37.7,18266,9591,40,89,0.0,1 + 1 part,532,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-DM_005.14.fa.gz,k__Bacteria (UID2570),433,273,183,4,266,3,0,0,0,98.36,1.37,0.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__JAFADY01;s__,,,,,,,,,,,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__JAFADY01;s__,taxonomic novelty determined using RED,classification based on placement in class-level tree,,95.61,11.0,0.95694,
MEGAHIT-MetaBAT2Refined-DM_005.18.fa.gz,DM_005,Adametz collection,Sus scrofa domesticus,,,<1940,,,,MEGAHIT-MetaBAT2Refined-DM_005.18.fa.gz,bacteria_odb10,87.9,87.9,0.0,4.8,7.3,124,MEGAHIT-MetaBAT2Refined-DM_005.18.fa.gz,178,178,113,59,9,0,1688238,1688238,1474343,1085139,287325,0,178,42839,1688238,47.22,14551,7864,39,80,0.0,0 + 0 part,22,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-DM_005.18.fa.gz,o__Selenomonadales (UID1024),64,334,167,23,303,8,0,0,0,92.4,3.99,62.5,d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Succiniclasticum;s__,,,,,,GCA_900544275.1,95.0,d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Succiniclasticum;s__Succiniclasticum sp900544275,88.18,0.571,d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Succiniclasticum;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,,87.79,11.0,0.98839,Genome not assigned to closest species as it.fa.gzlls outside its pre-defined ANI radius
